@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
FINE,2022-09-01 00:00:00,,LW5
FINE,2022-09-01 01:00:00,,LW5
FINE,2022-09-01 02:00:00,,LW5
FINE,2022-09-01 03:00:00,,LW5
FINE,2022-09-01 04:00:00,,LW5
FINE,2022-09-01 05:00:00,,LW5
FINE,2022-09-01 06:00:00,,LW5
FINE,2022-09-01 07:00:00,,LW5
FINE,2022-09-01 08:00:00,,LW5
FINE,2022-09-01 09:00:00,,LW5
FINE,2022-09-01 10:00:00,,LW5
FINE,2022-09-01 11:00:00,,LW5
FINE,2022-09-01 12:00:00,,LW5
FINE,2022-09-01 13:00:00,,LW5
FINE,2022-09-01 14:00:00,,LW5
FINE,2022-09-01 15:00:00,,LW5
FINE,2022-09-01 16:00:00,,LW5
FINE,2022-09-01 17:00:00,,LW5
FINE,2022-09-01 18:00:00,,LW5
FINE,2022-09-01 19:00:00,,LW5
FINE,2022-09-01 20:00:00,,LW5
FINE,2022-09-01 21:00:00,,LW5
FINE,2022-09-01 22:00:00,,LW5
FINE,2022-09-01 23:00:00,,LW5
FINE,2022-09-02 00:00:00,,LW5
FINE,2022-09-02 01:00:00,,LW5
FINE,2022-09-02 02:00:00,,LW5
FINE,2022-09-02 03:00:00,,LW5
FINE,2022-09-02 04:00:00,,LW5
FINE,2022-09-02 05:00:00,,LW5
FINE,2022-09-02 06:00:00,,LW5
FINE,2022-09-02 07:00:00,,LW5
FINE,2022-09-02 08:00:00,,LW5
FINE,2022-09-02 09:00:00,,LW5
FINE,2022-09-02 10:00:00,,LW5
FINE,2022-09-02 11:00:00,,LW5
FINE,2022-09-02 12:00:00,,LW5
FINE,2022-09-02 13:00:00,,LW5
FINE,2022-09-02 14:00:00,,LW5
FINE,2022-09-02 15:00:00,,LW5
FINE,2022-09-02 16:00:00,,LW5
FINE,2022-09-02 17:00:00,,LW5
FINE,2022-09-02 18:00:00,,LW5
FINE,2022-09-02 19:00:00,,LW5
FINE,2022-09-02 20:00:00,,LW5
FINE,2022-09-02 21:00:00,,LW5
FINE,2022-09-02 22:00:00,,LW5
FINE,2022-09-02 23:00:00,,LW5
FINE,2022-09-03 00:00:00,,LW5
FINE,2022-09-03 01:00:00,,LW5
FINE,2022-09-03 02:00:00,,LW5
FINE,2022-09-03 03:00:00,,LW5
FINE,2022-09-03 04:00:00,,LW5
FINE,2022-09-03 05:00:00,,LW5
FINE,2022-09-03 06:00:00,,LW5
FINE,2022-09-03 07:00:00,,LW5
FINE,2022-09-03 08:00:00,,LW5
FINE,2022-09-03 09:00:00,,LW5
FINE,2022-09-03 10:00:00,,LW5
FINE,2022-09-03 11:00:00,,LW5
FINE,2022-09-03 12:00:00,,LW5
FINE,2022-09-03 13:00:00,,LW5
FINE,2022-09-03 14:00:00,,LW5
FINE,2022-09-03 15:00:00,,LW5
FINE,2022-09-03 16:00:00,,LW5
FINE,2022-09-03 17:00:00,,LW5
FINE,2022-09-03 18:00:00,,LW5
FINE,2022-09-03 19:00:00,,LW5
FINE,2022-09-03 20:00:00,,LW5
FINE,2022-09-03 21:00:00,,LW5
FINE,2022-09-03 22:00:00,,LW5
FINE,2022-09-03 23:00:00,,LW5
FINE,2022-09-04 00:00:00,,LW5
FINE,2022-09-04 01:00:00,,LW5
FINE,2022-09-04 02:00:00,,LW5
FINE,2022-09-04 03:00:00,,LW5
FINE,2022-09-04 04:00:00,,LW5
FINE,2022-09-04 05:00:00,,LW5
FINE,2022-09-04 06:00:00,,LW5
FINE,2022-09-04 07:00:00,,LW5
FINE,2022-09-04 08:00:00,,LW5
FINE,2022-09-04 09:00:00,,LW5
FINE,2022-09-04 10:00:00,,LW5
FINE,2022-09-04 11:00:00,,LW5
FINE,2022-09-04 12:00:00,,LW5
FINE,2022-09-04 13:00:00,,LW5
FINE,2022-09-04 14:00:00,,LW5
FINE,2022-09-04 15:00:00,,LW5
FINE,2022-09-04 16:00:00,,LW5
FINE,2022-09-04 17:00:00,,LW5
FINE,2022-09-04 18:00:00,,LW5
FINE,2022-09-04 19:00:00,,LW5
FINE,2022-09-04 20:00:00,,LW5
FINE,2022-09-04 21:00:00,,LW5
FINE,2022-09-04 22:00:00,,LW5
FINE,2022-09-04 23:00:00,,LW5
FINE,2022-09-05 00:00:00,,LW5
FINE,2022-09-05 01:00:00,,LW5
FINE,2022-09-05 02:00:00,,LW5
FINE,2022-09-05 03:00:00,,LW5
FINE,2022-09-05 04:00:00,,LW5
FINE,2022-09-05 05:00:00,,LW5
FINE,2022-09-05 06:00:00,,LW5
FINE,2022-09-05 07:00:00,,LW5
FINE,2022-09-05 08:00:00,,LW5
FINE,2022-09-05 09:00:00,,LW5
FINE,2022-09-05 10:00:00,,LW5
FINE,2022-09-05 11:00:00,,LW5
FINE,2022-09-05 12:00:00,,LW5
FINE,2022-09-05 13:00:00,,LW5
FINE,2022-09-05 14:00:00,,LW5
FINE,2022-09-05 15:00:00,,LW5
FINE,2022-09-05 16:00:00,,LW5
FINE,2022-09-05 17:00:00,,LW5
FINE,2022-09-05 18:00:00,,LW5
FINE,2022-09-05 19:00:00,,LW5
FINE,2022-09-05 20:00:00,,LW5
FINE,2022-09-05 21:00:00,,LW5
FINE,2022-09-05 22:00:00,,LW5
FINE,2022-09-05 23:00:00,,LW5
FINE,2022-09-06 00:00:00,,LW5
FINE,2022-09-06 01:00:00,,LW5
FINE,2022-09-06 02:00:00,,LW5
FINE,2022-09-06 03:00:00,,LW5
FINE,2022-09-06 04:00:00,,LW5
FINE,2022-09-06 05:00:00,,LW5
FINE,2022-09-06 06:00:00,,LW5
FINE,2022-09-06 07:00:00,,LW5
FINE,2022-09-06 08:00:00,,LW5
FINE,2022-09-06 09:00:00,,LW5
FINE,2022-09-06 10:00:00,,LW5
FINE,2022-09-06 11:00:00,,LW5
FINE,2022-09-06 12:00:00,,LW5
FINE,2022-09-06 13:00:00,,LW5
FINE,2022-09-06 14:00:00,,LW5
FINE,2022-09-06 15:00:00,,LW5
FINE,2022-09-06 16:00:00,,LW5
FINE,2022-09-06 17:00:00,,LW5
FINE,2022-09-06 18:00:00,,LW5
FINE,2022-09-06 19:00:00,,LW5
FINE,2022-09-06 20:00:00,,LW5
FINE,2022-09-06 21:00:00,,LW5
FINE,2022-09-06 22:00:00,,LW5
FINE,2022-09-06 23:00:00,,LW5
FINE,2022-09-07 00:00:00,,LW5
FINE,2022-09-07 01:00:00,,LW5
FINE,2022-09-07 02:00:00,,LW5
FINE,2022-09-07 03:00:00,,LW5
FINE,2022-09-07 04:00:00,,LW5
FINE,2022-09-07 05:00:00,,LW5
FINE,2022-09-07 06:00:00,,LW5
FINE,2022-09-07 07:00:00,,LW5
FINE,2022-09-07 08:00:00,,LW5
FINE,2022-09-07 09:00:00,,LW5
FINE,2022-09-07 10:00:00,,LW5
FINE,2022-09-07 11:00:00,,LW5
FINE,2022-09-07 12:00:00,,LW5
FINE,2022-09-07 13:00:00,,LW5
FINE,2022-09-07 14:00:00,,LW5
FINE,2022-09-07 15:00:00,,LW5
FINE,2022-09-07 16:00:00,,LW5
FINE,2022-09-07 17:00:00,,LW5
FINE,2022-09-07 18:00:00,,LW5
FINE,2022-09-07 19:00:00,,LW5
FINE,2022-09-07 20:00:00,,LW5
FINE,2022-09-07 21:00:00,,LW5
FINE,2022-09-07 22:00:00,,LW5
FINE,2022-09-07 23:00:00,,LW5
FINE,2022-09-08 00:00:00,,LW5
FINE,2022-09-08 01:00:00,,LW5
FINE,2022-09-08 02:00:00,,LW5
FINE,2022-09-08 03:00:00,,LW5
FINE,2022-09-08 04:00:00,,LW5
FINE,2022-09-08 05:00:00,,LW5
FINE,2022-09-08 06:00:00,,LW5
FINE,2022-09-08 07:00:00,,LW5
FINE,2022-09-08 08:00:00,,LW5
FINE,2022-09-08 09:00:00,,LW5
FINE,2022-09-08 10:00:00,,LW5
FINE,2022-09-08 11:00:00,,LW5
FINE,2022-09-08 12:00:00,,LW5
FINE,2022-09-08 13:00:00,,LW5
FINE,2022-09-08 14:00:00,,LW5
FINE,2022-09-08 15:00:00,,LW5
FINE,2022-09-08 16:00:00,,LW5
FINE,2022-09-08 17:00:00,,LW5
FINE,2022-09-08 18:00:00,,LW5
FINE,2022-09-08 19:00:00,,LW5
FINE,2022-09-08 20:00:00,,LW5
FINE,2022-09-08 21:00:00,,LW5
FINE,2022-09-08 22:00:00,,LW5
FINE,2022-09-08 23:00:00,,LW5
FINE,2022-09-09 00:00:00,,LW5
FINE,2022-09-09 01:00:00,,LW5
FINE,2022-09-09 02:00:00,,LW5
FINE,2022-09-09 03:00:00,,LW5
FINE,2022-09-09 04:00:00,,LW5
FINE,2022-09-09 05:00:00,,LW5
FINE,2022-09-09 06:00:00,,LW5
FINE,2022-09-09 07:00:00,,LW5
FINE,2022-09-09 08:00:00,,LW5
FINE,2022-09-09 09:00:00,,LW5
FINE,2022-09-09 10:00:00,,LW5
FINE,2022-09-09 11:00:00,,LW5
FINE,2022-09-09 12:00:00,,LW5
FINE,2022-09-09 13:00:00,,LW5
FINE,2022-09-09 14:00:00,,LW5
FINE,2022-09-09 15:00:00,,LW5
